GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
my-simple-stack,deqo.twas.mysimplestack,Item,0,10,0,0,0,4,0,3,0,3
my-simple-stack,deqo.twas.mysimplestack,Stack,0,42,0,0,0,13,0,6,0,6
